"station"	"year"	"lon"	"lat"	"non_NIS_Di"	"overall_Di"	"ratio_NISvsNAT"	"ratio_sp"	"non_NIS_Di_nw"	"overall_Di_nw"	"nbsp"	"sing.sp"	"FRic"	"FEve"	"FDiv"	"FDis"	"RaoQ"	"richness"	"Shannon"	"Simpson"	"Eveness"	"mean_NIS_Di"	"NIS_Di"	"NIS_relab"	"NIS_Di_nw"	"species"	"month"	"depth"	"bot_sal"	"bot_sal_var"	"bot_T"	"bot_T_var"	"bot_oxy"	"bot_oxy_var"
"57"	"11"	2012	18.75504	57.30699	0.236295611337395	0.229073971178382	48.0863103261295	22.2222222222222	0.250607766954105	0.246433376264978	9	9	0.0173183939056722	0.844863964263505	0.845740718004343	2.75218953820693	8	9	1.47822319227824	0.704492515839843	0.6727683676606	0.203798230621838	0.201039889942204	3.73317956762755	0.241813144566073	"Marenzelleria"	5	11.5	7.21877440277393	0.352488448089874	5.94754331411717	5.05636648868523	403.595885208231	38.0180261929224
"59"	"11"	2016	18.75504	57.30699	0.235113831431611	0.224088688499182	45.3682362455092	25	0.256966222004128	0.250527066809689	8	8	0.0673139946679736	0.866655424604663	0.862921523185535	2.59357962040181	7	8	1.46591399623577	0.71854177863153	0.704955617579688	0.191013259701895	0.198703936198192	1.50477799665909	0.237452162620397	"Marenzelleria"	5	11.5	7.04536874925453	0.301368857984515	9.26196440550935	5.62035313622652	384.029403127603	33.6309414824632
"60"	"11"	2017	18.75504	57.30699	0.241217476346306	0.243356797638305	26.1754021896541	30	0.256924356235604	0.26283977556018	10	10	0.00189872182099918	0.835652509526115	0.848922295723611	2.93027710778404	9	10	1.70112053930578	0.797342884463539	0.738787263272782	0.248348547319637	0.2229260919472	0.739982341455664	0.259042344615885	"Marenzelleria"	5	11.5	7.1582158265679	0.233971394855518	7.95101479549745	5.17474944460042	391.29207166318	40.3489176484811
"64"	"11"	2018	18.75504	57.30699	0.24033697024416	0.231463213886792	15.1912708767452	20	0.26983773079307	0.264838190902984	10	10	0.00255152631638068	0.858267033511603	0.840084773242932	2.92701939314761	9	10	1.64529044666873	0.746104519997542	0.714540562116364	0.195968188457321	0.20417403790384	1.09814323363031	0.259961726802561	"Marenzelleria"	5	11.5	6.98261785876092	0.153220702511832	10.1649530168364	6.29640465072644	404.174200365046	42.6293758765467
"65"	"11"	2019	18.75504	57.30699	0.232527391215625	0.225542935954629	32.722983828689	18.1818181818182	0.24809647489826	0.245576975724407	11	11	0.00180542393506835	0.877391485215195	0.875764050741046	3.09229728867542	10	11	1.50260593533524	0.729950541203012	0.626635346581121	0.194112887280143	0.20481925798232	0.202673728305333	0.237073476733836	"Marenzelleria"	5	11.5	6.7984824993231	0.235315352834633	8.48406991328934	5.43429470533537	384.72338127459	37.334576027197
"68"	"110"	2011	14.82215	56.14717	0.23398412151839	0.225314856514526	9.71511269301148	15.3846153846154	0.264823640623589	0.265491993643891	13	13	0.0183876786021931	0.861112485840317	0.835861184369539	3.36812205315879	12	13	1.10759152059188	0.476947341938705	0.431818085362916	0.177633898993275	0.191030081452345	8.03737915170821	0.273755306999537	"Marenzelleria"	5	14.8	6.69543261040826	0.438862591991994	7.12200624497517	4.0176712796477	424.17669263205	40.9060503938638
"70"	"110"	2013	14.82215	56.14717	0.228365721410694	0.230506571585741	5.78502536065444	23.0769230769231	0.251654904712319	0.258666429169155	13	13	0.0124851759540718	0.8786622780959	0.855135032963563	3.38665776914762	12	13	1.31631778966526	0.57754773595317	0.513194455803207	0.2376427388359	0.220194322322659	3.5434947429364	0.274327716988221	"Marenzelleria"	5	14.8	6.89670391539529	0.532833211647208	4.34631155833097	4.45161756915815	424.2175178929	50.0657216671186
"72"	"110"	2015	14.82215	56.14717	0.25012114482959	0.248547327227884	0.460897740678781	8.33333333333333	0.279604502444453	0.279186693849719	12	12	0.00919576773181615	0.904019440616068	0.852185759296243	3.24814550152407	11	12	1.0415336113932	0.514909811732032	0.419143959183361	0.231235333609119	0.231235333609119	0.460897740678781	0.274590799307647	"Marenzelleria"	5	14.8	7.05059563216371	0.492306069947277	7.09004683152125	4.03150146038219	390.855993254866	40.6811674081209
"74"	"111"	2011	15.59967	56.1335	0.21882816762639	0.217463313531733	1.96476048990156	33.3333333333333	0.253336830943474	0.263689946922355	9	9	0.0229343194161323	0.899353276913123	0.858253326039773	2.77130144736614	8	9	0.384803739424674	0.15245597049893	0.175131729088515	0.214733605342417	0.18436083442622	0.295216037299439	0.264614991390014	"Marenzelleria"	5	20.8	6.36169338226318	0.426307875378973	7.39758348464966	5.22169349591919	423.588836669922	43.1226697081799
"77"	"111"	2013	15.59967	56.1335	0.214279504475527	0.221703479001876	0.43541899475798	22.2222222222222	0.254975447635785	0.264497641693197	9	9	0.0481716339321503	0.913652921922027	0.871977609225139	2.78103213013711	8	9	0.184217711502474	0.0590672544210405	0.0838410936244889	0.247687389844096	0.180098873224832	0.401680720013647	0.281631981680882	"Marenzelleria"	5	20.8	6.91652297973633	0.409042750899512	5.796142578125	5.41606522328556	427.735473632812	44.4166766495014
